id,name_ukr,name_eng,gender,party,faction,convocation,date_oath,date_resignation,elected,age,education,specialization,committee,birthday,assistants,facebook,twitter
17,Бакулін Євген Миколайович,Bakulin Yevhen Mykolayovych,male,non-affiliated,Opposition Bloc,8,27.11.2014,,constituency,58,higher education,unemployment,"Committee on youth policy, sports and tourism",26.09.1956,10,https://www.facebook.com/YevgeniyBakulin,
18,Бакуменко Олександр Борисович,Bakumenko Oleksandr Borysovych,male,"partiya ""blok petra poroshenka""",Petro Poroshenko Block,8,27.11.2014,,party system,56,higher education,ceo,Committee on Agrarian Policy and Land Relations,29.04.1959,22,https://www.facebook.com/profile.php?id=100008866600855,
19,Балицький Євген Віталійович,Balyts'kyy Yevhen Vitaliyovych,male,non-affiliated,Opposition Bloc,8,27.11.2014,,constituency,45,higher education,parliament member,Committee on environmental policy,10.12.1969,15,https://www.facebook.com/balytsky.yevhen,
20,Балога Віктор Іванович,Baloha Viktor Ivanovych,male,politichna partiya yediniy centr,non-affiliated,8,27.11.2014,,constituency,51,higher education,parliament member,Committee on European Integration,15.06.1963,11,https://www.facebook.com/ViktorBaloga,https://twitter.com/ViktorBaloha
21,Балога Іван Іванович,Baloha Ivan Ivanovych,male,politichna partiya yediniy centr,non-affiliated,8,27.11.2014,,constituency,48,higher education,local government,Committee on State Building and Local Self-Government,10.11.1966,14,https://www.facebook.com/baloga.ivan,
22,Балога Павло Іванович,Baloha Pavlo Ivanovych,male,politichna partiya yediniy centr,non-affiliated,8,27.11.2014,,constituency,38,higher education,parliament member,Tax and Customs Policy Committee,27.05.1977,4,,
23,Бандуров Володимир Володимирович,Bandurov Volodymyr Volodymyrovych,male,non-affiliated,"Group ""Volia narodu""",8,27.11.2014,,constituency,42,higher education,parliament member,"Committee on Energy Complex, Nuclear Policy and Nuclear Safety",06.05.1973,22,,
24,Барвіненко Віталій Дмитрович,Barvinenko Vitaliy Dmytrovych,male,non-affiliated,"Group ""Vidrodzhennia""",8,27.11.2014,,constituency,34,higher education,parliament member,Committee on Legislative Support of Law Enforcement,03.06.1981,23,https://www.facebook.com/vitaly.barvinenko,
25,Барна Олег Степанович,Barna Oleh Stepanovych,male,"partiya ""blok petra poroshenka""",Petro Poroshenko Block,8,27.11.2014,,constituency,48,higher education,education,Committee on Combating Organized Crime and Corruption,18.04.1967,21,https://www.facebook.com/profile.php?id=100004441810055,
26,Барна Степан Степанович,Barna Stepan Stepanovych,male,"partiya ""blok petra poroshenka""",,8,04.12.2014,13.05.2015,party system,35,higher education,manager,,09.10.1979,0,,
27,Батенко Тарас Іванович,Batenko Taras Ivanovych,male,"partiya ""blok petra poroshenka""",non-affiliated,8,27.11.2014,,constituency,40,higher education,manager,"Committee on Energy Complex, Nuclear Policy and Nuclear Safety",20.06.1974,28,https://www.facebook.com/t.batenko,https://twitter.com/batenko_taras
28,Бахтеєва Тетяна Дмитрівна,Bakhteyeva Tetyana Dmytrivna,female,non-affiliated,Opposition Bloc,8,27.11.2014,,party system,61,higher education,parliament member,"Committee on Health, Maternity and Childhood",27.11.1953,8,https://www.facebook.com/bahteevaTD,
29,Безбах Яків Якович,Bezbakh Yakiv Yakovych,male,non-affiliated,non-affiliated,8,27.11.2014,,constituency,57,higher education,parliament member,Committee on Legislative Support of Law Enforcement,08.09.1957,5,https://www.facebook.com/profile.php?id=100007266183649,
n/a,Бендюженко Федір Володимирович,Bendyuzhenko Fedir Volodymyrovych,male,"politichna partiya ""narodniy front""",,8,21.02.2017,,party system,35,higher education,manager,Committee on Freedom of Speech and Information,23.07.1982,2,,
30,Береза Борислав Юхимович,Bereza Boryslav Yukhymovych,male,non-affiliated,non-affiliated,8,27.11.2014,,constituency,40,higher education,unemployment,Committee on Combating Organized Crime and Corruption,13.06.1974,13,https://www.facebook.com/borislav.bereza,https://twitter.com/UkrBereza
31,Береза Юрій Миколайович,Bereza Yuriy Mykolayovych,male,non-affiliated,"""Narodnyi Front""",8,27.11.2014,,party system,45,higher education,military,National Security and Defense Committee,08.02.1970,30,,
32,Березенко Сергій Іванович,Berezenko Serhiy Ivanovych,male,non-affiliated,Petro Poroshenko Block,8,02.09.2015,,constituency,31,higher education,government,"Committee on Health, Maternity and Childhood",11.04.1984,5,https://www.facebook.com/sergiy.berezenko,
33,Березкін Станіслав Семенович,Berezkin Stanislav Semenovych,male,non-affiliated,"Group ""Vidrodzhennia""",8,27.11.2014,,constituency,56,higher education,parliament member,Committee on economic policy,12.05.1959,5,,
34,Березюк Олег Романович,Berezyuk Oleh Romanovych,male,"politichna partiya ""ob'yednannya ""samopomich""","""Obyednannya ""Samopomich""",8,27.11.2014,,party system,45,higher education,government,Committee on State Building and Local Self-Government,08.10.1969,12,,
35,Бєлькова Ольга Валентинівна,Byel'kova Ol'ha Valentynivna,female,non-affiliated,Petro Poroshenko Block,8,27.11.2014,,party system,39,higher education,parliament member,"Committee on Energy Complex, Nuclear Policy and Nuclear Safety",16.06.1975,6,https://www.facebook.com/obelkova,https://twitter.com/OlgaBielkova
36,Білецький Андрій Євгенійович,Bilets'kyy Andriy Yevheniyovych,male,non-affiliated,non-affiliated,8,27.11.2014,,constituency,35,higher education,military,National Security and Defense Committee,05.08.1979,23,,
37,Білий Олексій Петрович,Bilyy Oleksiy Petrovych,male,non-affiliated,Opposition Bloc,8,27.11.2014,,party system,54,higher education,parliament member,Committee on Transport and Communications,01.05.1961,10,https://www.facebook.com/zhovtneva.mpag,
38,Біловол Олександр Миколайович,Bilovol Oleksandr Mykolayovych,male,non-affiliated,"Group ""Vidrodzhennia""",8,27.11.2014,,constituency,53,higher education,parliament member,"Committee on Health, Maternity and Childhood",11.01.1962,17,https://www.facebook.com/obilovol,
n/a,Білозір Оксана Володимирівна,Bilozir Oksana Volodymyrivna,female,non-affiliated,Petro Poroshenko Block,8,17.05.2016,,party system,59,higher education,ngo,Committee on European Integration,30.05.1957,15,https://www.facebook.com/oksana.bilozir,
n/a,Білоцерковець Дмитро Олександрович,Bilotserkovets' Dmytro Oleksandrovych,male,non-affiliated,Petro Poroshenko Block,8,29.03.2016,,party system,30,higher education,adviser,Budget Committee,21.02.1986,27,https://www.facebook.com/dbelotserkovets,
39,Бобов Геннадій Борисович,Bobov Hennadiy Borysovych,male,non-affiliated,"Group ""Vidrodzhennia""",8,27.11.2014,,constituency,49,higher education,parliament member,Committee on Agrarian Policy and Land Relations,15.11.1965,18,https://www.facebook.com/profile.php?id=100004831083336,
n/a,Богдан Руслан Дмитрович,Bohdan Ruslan Dmytrovych,male,"politichna partiya vseukrayinske ob'yednannya ""batkivshina""","""Vseukrayins'ke obyednannya ""Bat'kivshchyna""",8,06.09.2016,,constituency,45,higher education,politics,"Committee on Energy Complex, Nuclear Policy and Nuclear Safety",28.01.1972,16,https://www.facebook.com/brd.deputat,
40,Богомолець Ольга Вадимівна,Bohomolets' Ol'ha Vadymivna,female,non-affiliated,Petro Poroshenko Block,8,27.11.2014,,party system,49,higher education,doctor,"Committee on Health, Maternity and Childhood",22.03.1966,15,https://www.facebook.com/olgabogomolets,
41,Богуслаєв Вячеслав Олександрович,Bohuslayev Vyacheslav Oleksandrovych,male,non-affiliated,"Group ""Volia narodu""",8,27.11.2014,,constituency,76,higher education,parliament member,National Security and Defense Committee,28.10.1938,12,,
42,Бойко Олена Петрівна,Boyko Olena Petrivna,female,"politichna partiya ""narodniy front""","""Narodnyi Front""",8,27.11.2014,,party system,42,higher education,adviser,Committee on State Building and Local Self-Government,07.08.1972,3,https://www.facebook.com/profile.php?id=100003472124257,
43,Бойко Юрій Анатолійович,Boyko Yuriy Anatoliyovych,male,non-affiliated,Opposition Bloc,8,27.11.2014,,party system,56,higher education,unemployment,"Committee on Pensioners, Veterans and the Disabled",09.10.1958,25,,
44,Бондар Віктор Васильович,Bondar Viktor Vasyl'ovych,male,non-affiliated,"Group ""Vidrodzhennia""",8,27.11.2014,,constituency,39,higher education,parliament member,"Committee on the Rules of Procedure, Parliamentary Ethics and Organization of the Verkhovna Rada of Ukraine",05.11.1975,20,https://www.facebook.com/bondarndm,
45,Бондар Михайло Леонтійович,Bondar Mykhaylo Leontiyovych,male,non-affiliated,"""Narodnyi Front""",8,27.11.2014,,constituency,41,higher education,military,"Committee on Energy Complex, Nuclear Policy and Nuclear Safety",17.11.1973,20,https://www.facebook.com/profile.php?id=100006099828041,
46,Бордюг Інна Леонідівна,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
47,Брензович Василь Іванович,Brenzovych Vasyl' Ivanovych,male,non-affiliated,Petro Poroshenko Block,8,27.11.2014,,party system,51,higher education,manager,Committee on Human Rights,25.04.1964,4,,
n/a,Бригинець Олександр Михайлович,Bryhynets' Oleksandr Mykhaylovych,male,non-affiliated,Petro Poroshenko Block,8,29.03.2016,,party system,54,higher education,parliament member,National Security and Defense Committee,14.04.1962,16,https://www.facebook.com/bryhynets,https://twitter.com/bryhynets
48,Бриченко Ігор Віталійович,Brychenko Ihor Vitaliyovych,male,"politichna partiya ""narodniy front""","""Narodnyi Front""",8,27.11.2014,,party system,44,secondary,parliament member,Committee on Agrarian Policy and Land Relations,07.07.1970,20,https://www.facebook.com/Igor.Brychenko,
49,Бублик Юрій Васильович,Bublyk Yuriy Vasyl'ovych,male,"politichna partiya vseukrayinske ob'yednannya ""svoboda""",Petro Poroshenko Block,8,27.11.2014,,constituency,41,higher education,parliament member,Committee on State Building and Local Self-Government,01.12.1973,21,https://www.facebook.com/bublyk.yurii,
n/a,Буглак Юрій Олександрович,Buhlak Yuriy Oleksandrovych,male,non-affiliated,,8,14.03.2017,,party system,52,higher education,lawyer,Committee on Combating Organized Crime and Corruption,07.02.1965,7,,
50,Бурбак Максим Юрійович,Burbak Maksym Yuriyovych,male,"politichna partiya ""narodniy front""","""Narodnyi Front""",8,27.11.2014,,constituency,39,higher education,government,"Committee on Pensioners, Veterans and the Disabled",13.01.1976,19,https://www.facebook.com/maksym.burbak,
51,Бухарєв Владислав Вікторович,Bukharyev Vladyslav Viktorovych,male,non-affiliated,"""Vseukrayins'ke obyednannya ""Bat'kivshchyna""",8,27.11.2014,,constituency,46,higher education,military,Committee on Legislative Support of Law Enforcement,14.03.1969,7,https://www.facebook.com/vladislav.buharev,
52,Вадатурський Андрій Олексійович,Vadaturs'kyy Andriy Oleksiyovych,male,"partiya ""blok petra poroshenka""",Petro Poroshenko Block,8,27.11.2014,,constituency,42,higher education,ceo,Committee on Agrarian Policy and Land Relations,11.04.1973,21,https://www.facebook.com/andriy.vadaturskyy,
53,Валентиров Сергій Васильович,Valentyrov Serhiy Vasyl'ovych,male,non-affiliated,Petro Poroshenko Block,8,27.11.2014,,constituency,36,higher education,manager,Committee on environmental policy,07.08.1978,22,,
54,Ванат Петро Михайлович,Vanat Petro Mykhaylovych,male,non-affiliated,"""Narodnyi Front""",8,27.11.2014,08.02.2017,party system,77,higher education,ceo,,28.01.1938,0,https://www.facebook.com/profile.php?id=100002202366807,
55,Васюник Ігор Васильович,Vasyunyk Ihor Vasyl'ovych,male,"politichna partiya ""narodniy front""","""Narodnyi Front""",8,27.11.2014,,party system,45,higher education,parliament member,Committee on Transport and Communications,01.08.1969,27,https://www.facebook.com/ihor.vasiunyk,
56,Величкович Микола Романович,Velychkovych Mykola Romanovych,male,non-affiliated,"""Narodnyi Front""",8,27.11.2014,,party system,42,higher education,government,"Committee on youth policy, sports and tourism",18.11.1972,10,https://www.facebook.com/profile.php?id=100000145124423,
n/a,Велікін Олег Маркович,Velikin Oleh Markovych,male,non-affiliated,Petro Poroshenko Block,8,21.04.2016,,party system,45,higher education,manager,"Committee on youth policy, sports and tourism",06.05.1971,13,https://www.facebook.com/ovelikin,
57,Веселова Наталія Василівна,Veselova Nataliya Vasylivna,female,non-affiliated,"""Obyednannya ""Samopomich""",8,27.11.2014,,party system,39,higher education,manager,Committee on Social Policy and Labor,27.08.1975,26,https://www.facebook.com/natalka.poltavka85,
58,Висоцький Сергій Віталійович,Vysots'kyy Serhiy Vitaliyovych,male,"politichna partiya ""narodniy front""","""Narodnyi Front""",8,27.11.2014,,party system,29,secondary,journalist,Committee on Freedom of Speech and Information,10.07.1985,12,https://www.facebook.com/sergey.vysotsky,
59,Вілкул Олександр Юрійович,Vilkul Oleksandr Yuriyovych,male,non-affiliated,Opposition Bloc,8,27.11.2014,,party system,41,higher education,government,Committee on European Integration,24.05.1974,18,https://www.facebook.com/OleksandrVilkul/,
60,Вінник Іван Юлійович,Vinnyk Ivan Yuliyovych,male,non-affiliated,Petro Poroshenko Block,8,27.11.2014,,constituency,36,higher education,unemployment,National Security and Defense Committee,03.01.1979,21,https://www.facebook.com/profile.php?id=100012121006811,
61,Вітко Артем Леонідович,Vitko Artem Leonidovych,male,non-affiliated,Radical Party of Oleg Lyashko,8,27.11.2014,,party system,32,higher education,military,Committee on Agrarian Policy and Land Relations,31.01.1983,6,,
62,Власенко Сергій Володимирович,Vlasenko Serhiy Volodymyrovych,male,"politichna partiya vseukrayinske ob'yednannya ""batkivshina""","""Vseukrayins'ke obyednannya ""Bat'kivshchyna""",8,27.11.2014,,party system,48,higher education,parliament member,Committee on State Building and Local Self-Government,07.03.1967,5,https://www.facebook.com/profile.php?id=100001667276617,
63,Вовк Віктор Іванович,Vovk Viktor Ivanovych,male,non-affiliated,Radical Party of Oleg Lyashko,8,27.11.2014,,party system,53,higher education,adviser,Committee on Foreign Affairs,20.05.1962,15,https://www.facebook.com/Dr.vovk,
64,Вознюк Юрій Володимирович,Voznyuk Yuriy Volodymyrovych,male,"politichna partiya ""narodniy front""","""Narodnyi Front""",8,27.11.2014,,constituency,35,higher education,parliament member,Tax and Customs Policy Committee,31.01.1980,17,https://www.facebook.com/profile.php?id=100002187041715,
65,Войцеховська Світлана Михайлівна,Voytsekhovs'ka Svitlana Mykhaylivna,female,"politichna partiya ""narodniy front""","""Narodnyi Front""",8,27.11.2014,,party system,55,higher education,government,"Committee on the Rules of Procedure, Parliamentary Ethics and Organization of the Verkhovna Rada of Ukraine",12.09.1959,14,https://www.facebook.com/profile.php?id=100009606826570,
66,Войціцька Вікторія Михайлівна,Voytsits'ka Viktoriya Mykhaylivna,female,non-affiliated,"""Obyednannya ""Samopomich""",8,27.11.2014,,party system,40,higher education,unemployment,"Committee on Energy Complex, Nuclear Policy and Nuclear Safety",27.11.1974,4,https://www.facebook.com/voytsitska,
67,Воропаєв Юрій Миколайович,Voropayev Yuriy Mykolayovych,male,non-affiliated,Opposition Bloc,8,27.11.2014,,party system,60,higher education,parliament member,Committee on economic policy,10.01.1955,12,,
68,Вощевський Валерій Миколайович,Voshchevs'kyy Valeriy Mykolayovych,male,radikalna partiya olega lyashka,,8,27.11.2014,02.12.2014,party system,58,higher education,ceo,,12.06.1956,0,,
69,Гаврилюк Михайло Віталійович,Havrylyuk Mykhaylo Vitaliyovych,male,non-affiliated,"""Narodnyi Front""",8,27.11.2014,,constituency,35,secondary,military,"Committee on Pensioners, Veterans and the Disabled",15.08.1979,9,https://www.facebook.com/profile.php?id=100008264370063,
70,Галасюк Віктор Валерійович,Halasyuk Viktor Valeriyovych,male,non-affiliated,Radical Party of Oleg Lyashko,8,27.11.2014,,party system,33,higher education,ceo,Committee on Industrial Policy,28.08.1981,29,https://www.facebook.com/Halasiuk/,https://twitter.com/halasiuk
71,Гальченко Андрій Володимирович,Hal'chenko Andriy Volodymyrovych,male,non-affiliated,Opposition Bloc,8,27.11.2014,,constituency,43,higher education,local government,"Committee on Construction, Transport, Housing and Communal Services and Communications",13.07.1971,16,https://www.facebook.com/galchenko.andrey,
72,Гарбуз Юрій Григорійович,Harbuz Yuriy Hryhoriyovych,male,non-affiliated,non-affiliated,8,27.11.2014,19.05.2016,constituency,43,higher education,unemployment,,18.11.1971,0,,
73,Гвоздьов Михайло Олексійович,Hvozd'ov Mykhaylo Oleksiyovych,male,"partiya ""blok petra poroshenka""",,8,27.11.2014,02.09.2015,party system,41,higher education,ceo,,18.11.1973,0,,
74,Герасимов Артур Володимирович,Herasymov Artur Volodymyrovych,male,"partiya ""blok petra poroshenka""",Petro Poroshenko Block,8,27.11.2014,,party system,42,higher education,ceo,National Security and Defense Committee,23.08.1972,19,https://www.facebook.com/artur.gerasimov.3,
75,Геращенко Антон Юрійович,Herashchenko Anton Yuriyovych,male,non-affiliated,"""Narodnyi Front""",8,27.11.2014,,party system,36,higher education,adviser,Committee on Legislative Support of Law Enforcement,10.02.1979,21,https://www.facebook.com/anton.gerashchenko.7,https://twitter.com/Gerashchenko7
76,Геращенко Ірина Володимирівна,Herashchenko Iryna Volodymyrivna,female,non-affiliated,non-affiliated,8,27.11.2014,,party system,44,higher education,parliament member,,15.05.1971,7,https://www.facebook.com/iryna.gerashchenko,
77,Герега Олександр Володимирович,Hereha Oleksandr Volodymyrovych,male,non-affiliated,non-affiliated,8,27.11.2014,,constituency,47,higher education,parliament member,Tax and Customs Policy Committee,27.06.1967,19,https://www.facebook.com/olexandr.gerega,
78,Гєллєр Євгеній Борисович,Hyellyer Yevheniy Borysovych,male,non-affiliated,"Group ""Vidrodzhennia""",8,27.11.2014,,constituency,41,higher education,parliament member,Budget Committee,12.05.1974,6,https://www.facebook.com/evgeniy.geller,
79,Гіршфельд Анатолій Мусійович,Hirshfel'd Anatoliy Musiyovych,male,non-affiliated,"Group ""Volia narodu""",8,27.11.2014,,constituency,57,higher education,parliament member,Committee on Industrial Policy,07.08.1957,28,https://www.facebook.com/a.girshfeld,
80,Головко Михайло Йосифович,Holovko Mykhaylo Yosyfovych,male,"politichna partiya vseukrayinske ob'yednannya ""svoboda""",non-affiliated,8,27.11.2014,,constituency,32,higher education,parliament member,Tax and Customs Policy Committee,03.05.1983,30,https://www.facebook.com/mihaylo.holovko,
81,Голуб Владислав Володимирович,Holub Vladyslav Volodymyrovych,male,"partiya ""blok petra poroshenka""",Petro Poroshenko Block,8,27.11.2014,,constituency,32,higher education,manager,Committee on Rule of Law and Justice,22.04.1983,17,https://www.facebook.com/vlad.v.golub,
82,Голубов Дмитро Іванович,Holubov Dmytro Ivanovych,male,non-affiliated,Petro Poroshenko Block,8,27.11.2014,,constituency,31,higher education,self-employed,Committee on Rule of Law and Justice,16.10.1983,16,https://www.facebook.com/profile.php?id=100009312742363,
83,Гончаренко Олексій Олексійович,Honcharenko Oleksiy Oleksiyovych,male,"partiya ""blok petra poroshenka""",Petro Poroshenko Block,8,27.11.2014,,party system,34,higher education,local government,Committee on State Building and Local Self-Government,16.09.1980,12,https://www.facebook.com/alexeygoncharenko,
84,Гопко Ганна Миколаївна,Hopko Hanna Mykolayivna,female,non-affiliated,non-affiliated,8,27.11.2014,,party system,33,higher education,unemployment,Committee on Foreign Affairs,04.03.1982,19,https://www.facebook.com/hanna.hopko,https://twitter.com/HopkoHanna
85,Горбунов Олександр Володимирович,Horbunov Oleksandr Volodymyrovych,male,"politichna partiya ""narodniy front""","""Narodnyi Front""",8,27.11.2014,,party system,46,higher education,manager,Budget Committee,13.02.1969,16,https://www.facebook.com/profile.php?id=100000968968654,
86,Горват Роберт Іванович,Horvat Robert Ivanovych,male,non-affiliated,Petro Poroshenko Block,8,27.11.2014,,constituency,46,higher education,ceo,Tax and Customs Policy Committee,17.02.1969,26,https://www.facebook.com/R.Gorvat,
87,Гордєєв Андрій Анатолійович,Hordyeyev Andriy Anatoliyovych,male,non-affiliated,non-affiliated,8,27.11.2014,19.05.2016,constituency,31,higher education,adviser,,13.06.1983,0,,
88,Грановський Олександр Михайлович,Hranovs'kyy Oleksandr Mykhaylovych,male,"partiya ""blok petra poroshenka""",Petro Poroshenko Block,8,27.11.2014,,party system,35,higher education,ceo,Committee on Rule of Law and Justice,25.12.1979,10,,
89,Гриневич Лілія Михайлівна,Hrynevych Liliya Mykhaylivna,female,"politichna partiya ""narodniy front""",non-affiliated,8,27.11.2014,14.04.2016,party system,50,higher education,parliament member,,13.05.1965,0,,
90,Гринів Ігор Олексійович,Hryniv Ihor Oleksiyovych,male,non-affiliated,Petro Poroshenko Block,8,27.11.2014,,party system,54,higher education,parliament member,Committee on Informatization and Information Technologies,10.03.1961,5,https://www.facebook.com/Igor.Hryniv/,
91,Гройсман Володимир Борисович,Hroysman Volodymyr Borysovych,male,non-affiliated,non-affiliated,8,27.11.2014,14.04.2016,party system,37,higher education,government,,20.01.1978,0,,https://twitter.com/VGroysman
92,Гудзенко Віталій Іванович,Hudzenko Vitaliy Ivanovych,male,non-affiliated,Petro Poroshenko Block,8,27.11.2014,,constituency,43,higher education,ceo,Tax and Customs Policy Committee,15.07.1971,16,https://www.facebook.com/profile.php?id=100004086552851,
93,Гузь Ігор Володимирович,Huz' Ihor Volodymyrovych,male,"politichna partiya ""narodniy front""","""Narodnyi Front""",8,27.11.2014,,constituency,33,higher education,manager,Committee on Foreign Affairs,11.01.1982,27,https://www.facebook.com/igor.guz,https://twitter.com/Igor_Guz
94,Гуляєв Василь Олександрович,Hulyayev Vasyl' Oleksandrovych,male,non-affiliated,"Group ""Vidrodzhennia""",8,27.11.2014,,constituency,51,higher education,local government,Committee on State Building and Local Self-Government,03.09.1963,23,https://www.facebook.com/vasilgulyaev,
95,Гусак Володимир Георгійович,Husak Volodymyr Heorhiyovych,male,non-affiliated,Opposition Bloc,8,27.11.2014,,party system,40,higher education,manager,Committee on Transport and Communications,21.11.1974,12,https://www.facebook.com/profile.php?id=100010428523011,
96,Давиденко Валерій Миколайович,Davydenko Valeriy Mykolayovych,male,non-affiliated,Petro Poroshenko Block,8,27.11.2014,,constituency,42,higher education,adviser,Committee on Agrarian Policy and Land Relations,16.03.1973,23,https://www.facebook.com/profile.php?id=100009182269926,
n/a,Данілін Владислав Юрійович,Danilin Vladyslav Yuriyovych,male,"politichna partiya ""narodniy front""",,8,20.09.2016,,party system,34,higher education,self-employed,"Committee on the Rules of Procedure, Parliamentary Ethics and Organization of the Verkhovna Rada of Ukraine",02.03.1983,8,https://www.facebook.com/profile.php?id=100004579145586,
97,Данченко Олександр Іванович,Danchenko Oleksandr Ivanovych,male,non-affiliated,"""Obyednannya ""Samopomich""",8,27.11.2014,,party system,40,higher education,ceo,Committee on Informatization and Information Technologies,14.11.1974,3,https://www.facebook.com/profile.php?id=100005025139406,
98,Дейдей Євген Сергійович,Deydey Yevhen Serhiyovych,male,non-affiliated,"""Narodnyi Front""",8,27.11.2014,,party system,27,higher education,manager,Committee on Legislative Support of Law Enforcement,12.07.1987,23,https://www.facebook.com/evgeniy.deidei,
99,Демчак Руслан Євгенійович,Demchak Ruslan Yevheniyovych,male,"partiya ""blok petra poroshenka""",Petro Poroshenko Block,8,27.11.2014,,constituency,40,higher education,manager,Committee on Finance and Banking,05.07.1974,17,https://www.facebook.com/ruslan.demchak,
100,Денисенко Анатолій Петрович,Denysenko Anatoliy Petrovych,male,non-affiliated,non-affiliated,8,27.11.2014,,constituency,44,higher education,parliament member,Committee on economic policy,10.03.1971,19,https://www.facebook.com/anatoliy.denysenko.1,
101,Денисенко Андрій Сергійович,Denysenko Andriy Serhiyovych,male,non-affiliated,non-affiliated,8,27.11.2014,,constituency,42,higher education,ngo,Committee on Rule of Law and Justice,01.01.1973,31,https://www.facebook.com/andriy.denysenko.75,
102,Денисенко Вадим Ігорович,Denysenko Vadym Ihorovych,male,non-affiliated,Petro Poroshenko Block,8,27.11.2014,,party system,41,higher education,manager,Committee on Rule of Law and Justice,07.04.1974,11,https://www.facebook.com/vadym.denysenko.1,
